,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,412065542.0,364842714.0,266667449.0,229269835.0
Preferred Shares Number,304500000.0,264500000.0,264500000.0,212500000.0
Ordinary Shares Number,1626828437.0,1675000000.0,1772226530.0,1809624144.0
Share Issued,2038893979.0,2039842714.0,2038893979.0,2038893979.0
Net Debt,217726000000.0,153469000000.0,156330000000.0,165490000000.0
Total Debt,276387000000.0,246216000000.0,243168000000.0,232942000000.0
Tangible Book Value,66526000000.0,67121000000.0,72498000000.0,75916000000.0
Invested Capital,366675000000.0,337607000000.0,340859000000.0,325473000000.0
Net Tangible Assets,75276000000.0,75871000000.0,80248000000.0,85166000000.0
Common Stock Equity,90288000000.0,91391000000.0,97691000000.0,92531000000.0
Preferred Stock Equity,8750000000.0,8750000000.0,7750000000.0,9250000000.0
Total Capitalization,366505000000.0,341222000000.0,338272000000.0,320579000000.0
Total Equity Gross Minority Interest,99982000000.0,101231000000.0,106598000000.0,103149000000.0
Minority Interest,944000000.0,1090000000.0,1157000000.0,1368000000.0
Stockholders Equity,99038000000.0,100141000000.0,105441000000.0,101781000000.0
Gains Losses Not Affecting Retained Earnings,-6421000000.0,-6253000000.0,-3102000000.0,-1962000000.0
Other Equity Adjustments,-6421000000.0,-6253000000.0,-3102000000.0,-1962000000.0
Treasury Stock,31139000000.0,26577000000.0,17500000000.0,9767000000.0
Retained Earnings,97996000000.0,94862000000.0,89432000000.0,78694000000.0
Additional Paid In Capital,29832000000.0,29339000000.0,28841000000.0,25546000000.0
Capital Stock,8770000000.0,8770000000.0,7770000000.0,9270000000.0
Common Stock,20000000.0,20000000.0,20000000.0,20000000.0
Preferred Stock,8750000000.0,8750000000.0,7750000000.0,9250000000.0
Total Liabilities Net Minority Interest,1093711000000.0,1079000000000.0,1081542000000.0,1012713000000.0
Derivative Product Liabilities,35275000000.0,38135000000.0,34568000000.0,44938000000.0
Long Term Debt And Capital Lease Obligation,267467000000.0,241081000000.0,232831000000.0,218798000000.0
Long Term Debt,267467000000.0,241081000000.0,232831000000.0,218798000000.0
Current Debt And Capital Lease Obligation,8920000000.0,5135000000.0,10337000000.0,14144000000.0
Current Debt,8920000000.0,5135000000.0,10337000000.0,14144000000.0
Other Current Borrowings,8920000000.0,5135000000.0,10337000000.0,14144000000.0
Payables And Accrued Expenses,208148000000.0,216134000000.0,228685000000.0,227437000000.0
Payables,208148000000.0,216134000000.0,228685000000.0,227437000000.0
Accounts Payable,208148000000.0,216134000000.0,228685000000.0,227437000000.0
Total Assets,1193693000000.0,1180231000000.0,1188140000000.0,1115862000000.0
Investments And Advances,359311000000.0,336881000000.0,373793000000.0,362330000000.0
Held To Maturity Securities,60053000000.0,75634000000.0,80168000000.0,71771000000.0
Available For Sale Securities,71944000000.0,7000000.0,8000000.0,16000000.0
Trading Securities,204376000000.0,176904000000.0,190683000000.0,180160000000.0
Long Term Equity Investment,124000000.0,39000000.0,104000000.0,0.0
Goodwill And Other Intangible Assets,23762000000.0,24270000000.0,25193000000.0,16615000000.0
Other Intangible Assets,7055000000.0,7618000000.0,8360000000.0,4980000000.0
Goodwill,16707000000.0,16652000000.0,16833000000.0,11635000000.0
Net PPE,23000000.0,4000000.0,16000000.0,21000000.0
Gross PPE,23000000.0,4000000.0,16000000.0,21000000.0
Other Properties,23000000.0,4000000.0,16000000.0,21000000.0
Receivables,80105000000.0,78540000000.0,96018000000.0,97737000000.0
Accounts Receivable,80105000000.0,78540000000.0,96018000000.0,97737000000.0
Other Short Term Investments,22814000000.0,84297000000.0,102830000000.0,110383000000.0
Cash And Cash Equivalents,58661000000.0,92747000000.0,86838000000.0,67452000000.0
Cash Financial,,,,9792000000.0
Cash Cash Equivalents And Federal Funds Sold,199972000000.0,242034000000.0,247724000000.0,221888000000.0
